date,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,7;ferie,7;ferie,7;ferie,7;ferie,7;ferie,7;ferie,7;ferie,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5
periode,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ps,ete,ete,ete,ete,ete,ete,ete,ete,ete,ete,ete,ete,ete,ete,ete,ete,ete,ete,ete,ete,ete,ta,ta,ta,ta,ta,ta,ta,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs,vs
CAUDEBEC-EN-CAUX Quai,06:15,|,06:40,|,|,|,07:35,|,|,08:10,|,08:35,|,10:05,|,12:10,13:10,|,14:10,15:00,15:45,|,|,|,17:00,17:30,|,18:20,|,06:15,06:40,|,|,07:35,08:10,08:35,|,10:05,|,12:10,13:10,14:10,|,15:00,15:45,|,|,17:00,17:30,|,18:20,|,06:15,06:40,07:35,08:35,|,10:05,|,12:10,13:10,|,14:10,|,15:00,15:45,|,|,17:00,|,18:20,|,06:15,06:40,|,07:35,|,08:35,|,10:05,|,12:10,13:10,14:10,|,15:00,15:45,|,|,17:00,|,18:20,|,|,11:15,|,|,16:00,|,19:15,06:15,06:40,|,|,07:35,08:10,08:35,|,10:05,|,12:10,13:10,14:10,|,15:00,15:45,|,17:00,|,17:30,|,18:20,|
LE TRAIT Mairie,06:25,06:40,06:50,06:55,07:10,07:30,07:45,07:40,08:00,08:20,08:40,08:45,09:40,10:15,11:10,12:20,13:20,13:50,14:20,15:10,15:55,16:10,16:40,17:00,17:10,17:40,18:00,18:30,19:10,06:25,06:50,07:10,07:30,07:45,08:20,08:45,09:15,10:15,11:10,12:20,13:20,14:20,14:55,15:10,15:55,16:10,17:00,17:10,17:40,18:00,18:30,19:10,06:25,06:50,07:45,08:45,09:40,10:15,11:10,12:20,13:20,13:50,14:20,14:55,15:10,15:55,16:10,17:00,17:10,18:00,18:30,19:10,06:25,06:50,07:10,07:45,08:20,08:45,09:15,10:15,11:10,12:20,13:20,14:20,14:55,15:10,15:55,16:05,17:00,17:10,18:05,18:30,19:10,10:10,11:25,12:20,14:30,16:10,17:45,19:25,06:25,06:50,07:10,07:30,07:45,08:20,08:45,09:15,10:15,11:10,12:20,13:20,14:20,14:55,15:10,15:55,16:05,17:10,17:00,17:40,18:05,18:30,19:10
YAINVILLE Centre,06:31,06:46,06:56,07:01,07:16,07:36,07:51,07:46,08:06,08:26,08:46,08:51,09:46,10:21,11:16,12:26,13:26,13:56,14:26,15:16,16:01,16:16,16:46,17:06,17:16,17:46,18:06,18:36,19:16,06:31,06:56,07:16,07:36,07:51,08:26,08:51,09:21,10:21,11:16,12:26,13:26,14:26,15:01,15:16,16:01,16:16,17:06,17:16,17:46,18:06,18:36,19:16,06:31,06:56,07:51,08:51,09:46,10:21,11:16,12:26,13:26,13:56,14:26,15:01,15:16,16:01,16:16,17:06,17:16,18:06,18:36,19:16,06:31,06:56,07:16,07:51,08:26,08:51,09:21,10:21,11:15,12:26,13:26,14:26,15:01,15:16,16:01,16:10,17:05,17:16,18:10,18:36,19:16,10:15,11:30,12:25,14:35,16:15,17:50,19:30,06:31,06:56,07:16,07:36,07:51,08:26,08:51,09:21,10:21,11:15,12:26,13:26,14:26,15:01,15:16,16:01,16:10,17:16,17:05,17:46,18:10,18:36,19:16
JUMIEGES L'Abbaye,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,11:18,|,|,|,|,|,|,16:13,17:08,|,18:13,|,|,10:18,11:33,12:28,14:38,16:18,17:53,19:33,|,|,|,|,|,|,|,|,|,11:18,|,|,|,|,|,|,16:13,|,17:08,|,18:13,|,|
DUCLAIR Centre,06:39,06:54,07:04,07:09,07:24,07:44,07:59,07:54,08:14,08:34,08:54,08:59,09:54,10:29,11:24,12:34,13:34,14:04,14:34,15:24,16:09,16:24,16:54,17:14,17:24,17:54,18:14,18:44,19:24,06:39,07:04,07:24,07:44,07:59,08:34,08:59,09:29,10:29,11:24,12:34,13:34,14:34,15:09,15:24,16:09,16:24,17:14,17:24,17:54,18:14,18:44,19:24,06:39,07:04,07:59,08:59,09:54,10:29,11:24,12:34,13:34,14:04,14:34,15:09,15:24,16:09,16:24,17:14,17:24,18:14,18:44,19:24,06:39,07:04,07:24,07:59,08:34,08:59,09:29,10:29,11:35,12:34,13:34,14:34,15:09,15:24,16:09,16:30,17:25,17:24,18:30,18:44,19:24,10:35,11:50,12:45,14:55,16:35,18:10,19:50,06:39,07:04,07:24,07:44,07:59,08:34,08:59,09:29,10:29,11:35,12:34,13:34,14:34,15:09,15:24,16:09,16:30,17:24,17:25,17:54,18:30,18:44,19:24
ST-MARTIN-DE-BOSCHERVILLE Centre,06:48,07:03,07:15,07:20,07:35,07:55,08:10,08:05,08:25,08:45,09:05,09:10,10:03,10:38,11:33,12:43,13:43,14:13,14:43,15:33,16:18,16:35,17:05,17:25,17:35,18:05,18:25,18:55,19:33,06:50,07:15,07:35,07:55,08:10,08:45,09:10,09:40,10:38,11:33,12:43,13:43,14:43,15:18,15:33,16:18,16:35,17:25,17:35,18:05,18:25,18:55,19:35,06:50,07:15,08:10,09:10,10:03,10:38,11:33,12:43,13:43,14:13,14:43,15:18,15:33,16:18,16:35,17:25,17:35,18:25,18:55,19:35,06:50,07:15,07:35,08:10,08:45,09:10,09:40,10:38,11:45,12:43,13:43,14:43,15:18,15:33,16:18,16:42,17:37,17:35,18:42,18:55,19:35,10:45,12:00,12:55,15:05,16:45,18:20,20:00,06:50,07:15,07:35,07:55,08:10,08:45,09:10,09:40,10:40,11:45,12:45,13:45,14:45,15:18,15:35,16:20,16:42,17:35,17:37,18:05,18:42,18:55,19:35
CANTELEU Lycée Hatelier - IDS,06:54,07:09,07:21,07:26,07:41,08:01,08:16,08:11,08:31,08:51,09:11,09:16,10:09,10:44,11:39,12:49,13:49,14:19,14:49,15:39,16:24,16:41,17:11,17:31,17:41,18:11,18:31,19:01,19:39,06:56,07:21,07:41,08:01,08:16,08:51,09:16,09:46,10:44,11:39,12:49,13:49,14:49,15:24,15:39,16:24,16:41,17:31,17:41,18:11,18:31,19:01,19:41,06:56,07:21,08:16,09:16,10:09,10:44,11:39,12:49,13:49,14:19,14:49,15:24,15:39,16:24,16:41,17:31,17:41,18:31,19:01,19:41,06:56,07:21,07:41,08:16,08:51,09:16,09:46,10:44,11:51,12:49,13:49,14:49,15:24,15:39,16:24,16:48,17:43,17:41,18:48,19:01,19:41,10:51,12:06,13:01,15:11,16:51,18:26,20:06,06:56,07:21,07:41,08:01,08:16,08:51,09:16,09:46,10:46,11:51,12:51,13:51,14:51,15:24,15:41,16:26,16:48,17:41,17:43,18:11,18:48,19:01,19:41
ROUEN Mont-Riboudet,07:03,07:18,07:30,07:35,07:51,08:11,08:26,08:21,08:41,09:00,09:20,09:25,10:18,10:53,11:48,12:58,13:58,14:28,14:58,15:48,16:33,16:50,17:20,17:40,17:50,18:20,18:40,19:10,19:48,07:03,07:30,07:50,08:10,08:25,09:00,09:25,09:55,10:53,11:48,12:58,13:58,14:58,15:33,15:48,16:33,16:50,17:40,17:50,18:20,18:40,19:10,19:48,07:03,07:30,08:25,09:25,10:18,10:53,11:48,12:58,13:58,14:28,14:58,15:33,15:48,16:33,16:50,17:40,17:50,18:40,19:10,19:48,07:03,07:30,07:50,08:25,09:00,09:25,09:55,10:53,11:59,12:58,13:58,14:58,15:33,15:48,16:33,16:56,17:51,17:50,18:56,19:10,19:48,10:59,12:14,13:09,15:19,16:59,18:34,20:14,07:03,07:30,07:50,08:10,08:25,09:00,09:25,09:55,10:55,11:59,13:00,14:00,15:00,15:33,15:50,16:35,16:56,17:50,17:51,18:20,18:56,19:10,19:48
ROUEN Gare Routière,07:11,07:26,07:40,07:45,08:01,08:21,08:36,08:31,08:51,09:10,09:30,09:35,10:28,11:03,11:58,13:08,14:08,14:38,15:08,15:58,16:43,17:00,17:30,17:50,18:00,18:30,18:50,19:20,19:58,07:13,07:40,08:00,08:20,08:35,09:10,09:35,10:05,11:03,11:58,13:08,14:08,15:08,15:43,15:58,16:43,17:00,17:50,18:00,18:30,18:50,19:20,19:58,07:13,07:40,08:35,09:35,10:28,11:03,11:58,13:08,14:08,14:38,15:08,15:43,15:58,16:43,17:00,17:50,18:00,18:50,19:20,19:58,07:13,07:40,08:00,08:35,09:10,09:35,10:05,11:03,12:09,13:08,14:08,15:08,15:43,15:58,16:43,17:06,18:01,18:00,19:06,19:20,19:58,11:09,12:24,13:19,15:29,17:09,18:44,20:24,07:13,07:40,08:00,08:20,08:35,09:10,09:35,10:05,11:05,12:09,13:10,14:10,15:10,15:43,16:00,16:45,17:06,18:00,18:01,18:30,19:06,19:20,19:58
Vélo - CAUDEBEC-EN-CAUX Quai,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|
Vélo - LE TRAIT Mairie,|,06:40,|,06:55,07:10,07:30,|,07:40,08:00,|,08:40,|,09:40,|,11:10,|,|,13:50,|,|,|,16:10,16:40,17:00,|,|,|,|,19:10,|,|,07:10,07:30,|,|,|,09:15,|,11:10,|,|,|,14:55,|,|,16:10,17:00,|,|,18:00,|,19:10,|,|,|,|,09:40,|,11:10,|,|,13:50,|,14:55,|,|,16:10,17:00,|,18:00,|,19:10,|,|,07:10,|,08:20,|,09:15,|,11:10,|,|,|,14:55,|,|,16:05,17:00,|,18:05,|,19:10,10:10,|,12:20,14:30,|,17:45,|,|,|,07:10,07:30,|,|,|,09:15,|,11:10,|,|,|,14:55,|,|,16:05,|,17:00,|,18:05,|,19:10
Vélo - YAINVILLE Centre,|,06:46,|,07:01,07:16,07:36,|,07:46,08:06,|,08:46,|,09:46,|,11:16,|,|,13:56,|,|,|,16:16,16:46,17:06,|,|,|,|,19:16,|,|,07:16,07:36,|,|,|,09:21,|,11:16,|,|,|,15:01,|,|,16:16,17:06,|,|,18:06,|,19:16,|,|,|,|,09:46,|,11:16,|,|,13:56,|,15:01,|,|,16:16,17:06,|,18:06,|,19:16,|,|,07:16,|,08:26,|,09:21,|,11:15,|,|,|,15:01,|,|,16:10,17:05,|,18:10,|,19:16,10:15,|,12:25,14:35,|,17:50,|,|,|,07:16,07:36,|,|,|,09:21,|,11:15,|,|,|,15:01,|,|,16:10,|,17:05,|,18:10,|,19:16
Vélo - JUMIEGES L'Abbaye,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,11:18,|,|,|,|,|,|,16:13,17:08,|,18:13,|,|,10:18,|,12:28,14:38,|,17:53,|,|,|,|,|,|,|,|,|,|,11:18,|,|,|,|,|,|,16:13,|,17:08,|,18:13,|,|
Vélo - DUCLAIR Centre,|,06:54,|,07:09,07:24,07:44,|,07:54,08:14,|,08:54,|,09:54,|,11:24,|,|,14:04,|,|,|,16:24,16:54,17:14,|,|,|,|,19:24,|,|,07:24,07:44,|,|,|,09:29,|,11:24,|,|,|,15:09,|,|,16:24,17:14,|,|,18:14,|,19:24,|,|,|,|,09:54,|,11:24,|,|,14:04,|,15:09,|,|,16:24,17:14,|,18:14,|,19:24,|,|,07:24,|,08:34,|,09:29,|,11:35,|,|,|,15:09,|,|,16:30,17:25,|,18:30,|,19:24,10:35,|,12:45,14:55,|,18:10,|,|,|,07:24,07:44,|,|,|,09:29,|,11:35,|,|,|,15:09,|,|,16:30,|,17:25,|,18:30,|,19:24
Vélo - ST-MARTIN-DE-BOSCHERVILLE Centre,|,07:03,|,07:20,07:35,07:55,|,08:05,08:25,|,09:05,|,10:03,|,11:33,|,|,14:13,|,|,|,16:35,17:05,17:25,|,|,|,|,19:33,|,|,07:35,07:55,|,|,|,09:40,|,11:33,|,|,|,15:18,|,|,16:35,17:25,|,|,18:25,|,19:35,|,|,|,|,10:03,|,11:33,|,|,14:13,|,15:18,|,|,16:35,17:25,|,18:25,|,19:35,|,|,07:35,|,08:45,|,09:40,|,11:45,|,|,|,15:18,|,|,16:42,17:37,|,18:42,|,19:35,10:45,|,12:55,15:05,|,18:20,|,|,|,07:35,07:55,|,|,|,09:40,|,11:45,|,|,|,15:18,|,|,16:42,|,17:37,|,18:42,|,19:35
Vélo - CANTELEU Lycée Hatelier - IDS,|,07:09,|,07:26,07:41,08:01,|,08:11,08:31,|,09:11,|,10:09,|,11:39,|,|,14:19,|,|,|,16:41,17:11,17:31,|,|,|,|,19:39,|,|,07:41,08:01,|,|,|,09:46,|,11:39,|,|,|,15:24,|,|,16:41,17:31,|,|,18:31,|,19:41,|,|,|,|,10:09,|,11:39,|,|,14:19,|,15:24,|,|,16:41,17:31,|,18:31,|,19:41,|,|,07:41,|,08:51,|,09:46,|,11:51,|,|,|,15:24,|,|,16:48,17:43,|,18:48,|,19:41,10:51,|,13:01,15:11,|,18:26,|,|,|,07:41,08:01,|,|,|,09:46,|,11:51,|,|,|,15:24,|,|,16:48,|,17:43,|,18:48,|,19:41
Vélo - ROUEN Mont-Riboudet,|,07:18,|,07:35,07:51,08:11,|,08:21,08:41,|,09:20,|,10:18,|,11:48,|,|,14:28,|,|,|,16:50,17:20,17:40,|,|,|,|,19:48,|,|,07:50,08:10,|,|,|,09:55,|,11:48,|,|,|,15:33,|,|,16:50,17:40,|,|,18:40,|,19:48,|,|,|,|,10:18,|,11:48,|,|,14:28,|,15:33,|,|,16:50,17:40,|,18:40,|,19:48,|,|,07:50,|,09:00,|,09:55,|,11:59,|,|,|,15:33,|,|,16:56,17:51,|,18:56,|,19:48,10:59,|,13:09,15:19,|,18:34,|,|,|,07:50,08:10,|,|,|,09:55,|,11:59,|,|,|,15:33,|,|,16:56,|,17:51,|,18:56,|,19:48
Vélo - ROUEN Gare Routière,|,07:26,|,07:45,08:01,08:21,|,08:31,08:51,|,09:30,|,10:28,|,11:58,|,|,14:38,|,|,|,17:00,17:30,17:50,|,|,|,|,19:58,|,|,08:00,08:20,|,|,|,10:05,|,11:58,|,|,|,15:43,|,|,17:00,17:50,|,|,18:50,|,19:58,|,|,|,|,10:28,|,11:58,|,|,14:38,|,15:43,|,|,17:00,17:50,|,18:50,|,19:58,|,|,08:00,|,09:10,|,10:05,|,12:09,|,|,|,15:43,|,|,17:06,18:01,|,19:06,|,19:58,11:09,|,13:19,15:29,|,18:44,|,|,|,08:00,08:20,|,|,|,10:05,|,12:09,|,|,|,15:43,|,|,17:06,|,18:01,|,19:06,|,19:58
