date,1;2;3;4;5,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5,6,1;2;3;4;5,3,1;2;3;4;5;6,3,3,1;2;3;4;5;6,1;2;3;4;5;6,3,1;2;3;4;5;6,1;2;3;4;5,1;2;4;5,1;2;3;4;5;6,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5,1;2;3;4;5;6,1;2;3;4;5;6,6,1;2;4;5,1;2;3;4;5,6,1;2;3;4;5,6,1;2;3;4;5,6,1;2;3;4;5,7;ferie,7;ferie
periode,ta,ta,ps,ps;vs,ete,ps;vs,ta,ete,ps;vs,ta,ta,ta,ta,ps;vs,ps,ps;vs,ps,ps,ta,ta,ps,ta,ps,ps,ta,ta,ps;vs,ta,ps;vs,ta,ps,ps,ta,ps,ta,ete,ps;vs,ps;vs,ta,ta,ta
LE HAVRE/Gare Routière,05:45,06:45,|,07:35,07:30,08:00,08:20,09:30,|,10:00,11:05,12:30,12:30,12:30,12:30,|,12:45,12:45,13:00,13:55,14:20,15:10,16:15,16:15,16:20,17:20,|,17:20,|,17:50,17:50,17:55,18:15,18:20,18:20,18:20,18:50,18:50,19:20,09:25,17:25
HARFLEUR/Saint-Martin,05:57,06:55,|,07:46,07:40,08:10,08:32,09:40,|,10:14,11:15,12:40,12:40,|,|,|,12:55,12:55,13:12,14:08,14:30,15:20,|,|,16:34,17:30,|,|,|,18:08,18:00,|,|,|,18:30,18:30,19:00,19:00,19:30,09:35,17:35
GONFREVILLE-L'ORCHER/Les Clos Molinons,06:04,07:03,|,07:54,07:48,08:18,08:38,09:48,|,10:19,11:23,12:48,12:48,|,|,|,13:03,13:03,13:20,14:15,14:41,15:28,16:33,16:33,16:39,17:38,|,|,|,18:15,18:08,18:16,|,|,18:38,18:38,19:08,19:08,19:38,09:43,17:43
GAINNEVILLE/Jonquilles/Horloge/Queue du Grill,06:07,07:06,|,07:55,07:51,08:21,08:39,09:51,|,10:22,11:26,12:51,12:51,|,|,|,13:06,13:06,13:23,14:17,14:43,15:31,16:36,16:36,16:41,17:41,|,|,|,18:17,18:11,18:17,|,|,18:41,18:41,19:11,19:11,19:41,09:46,17:46
ÉPRETOT/Centre Pénitentier/RN15,06:11,07:11,|,07:59,07:56,08:26,08:42,09:56,|,10:27,11:31,12:56,12:56,|,|,|,13:11,13:11,13:28,14:23,14:46,15:36,16:41,16:41,16:46,17:46,|,|,|,18:22,18:16,|,|,|,18:46,18:46,19:16,19:16,19:46,09:51,17:51
ST-AUBIN-ROUTOT/La Botte/Centre,06:14,07:14,|,08:01,07:59,08:29,08:44,09:59,|,10:31,11:34,12:59,12:59,|,|,|,13:14,13:14,13:31,14:27,14:49,15:39,16:44,16:44,16:48,17:49,|,|,|,18:24,18:19,|,|,|,18:49,18:49,19:19,19:19,19:49,09:54,17:54
ST-ROMAIN-DE-COLBOSC/Parc Éco-Normandie,|,07:20,|,|,|,|,08:50,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,17:55,|,|,|,18:30,|,|,|,|,|,|,|,|,|,|,|
ST-ROMAIN-DE-COLBOSC/École,06:18,07:25,|,08:05,08:03,08:33,08:55,10:03,|,10:35,11:38,13:03,13:03,|,|,|,13:18,13:18,13:35,14:30,14:53,15:43,16:48,16:48,16:51,18:00,|,|,|,18:35,18:23,18:30,|,18:40,18:53,18:53,19:23,19:23,19:53,09:58,17:58
LA CERLANGUE/Église,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,13:25,|,|,|,|,|,|,|,|,|,|,|,|,|,|,18:36,|,|,|,|,|,|,|,|,|
LA REMUÉE/École Henri Dès,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,13:33,|,|,|,|,|,|,|,|,|,|,|,|,|,|,18:44,|,|,|,|,|,|,|,|,|
LES TROIS-PIERRES/Bois Rosé/La Mare au Leu,06:21,07:28,|,08:09,08:06,08:36,09:00,10:06,|,10:39,11:41,13:06,13:06,|,|,|,|,13:21,13:38,14:32,14:56,15:46,16:51,16:51,16:55,18:03,|,|,|,18:39,18:26,|,|,|,18:56,18:56,19:26,19:26,19:56,10:01,18:01
ST-EUSTACHE-LA-FORÊT/Les Fonds de Misère,06:24,07:31,|,08:16,08:09,08:39,09:02,10:09,|,10:43,11:44,13:09,13:09,|,|,|,13:39,13:24,13:41,14:35,14:58,15:49,|,16:54,16:59,18:06,|,|,|,18:42,18:29,|,|,|,18:59,18:59,19:29,19:29,19:59,10:04,18:04
ST-EUSTACHE-LA-FORÊT/Patte d'Oie,|,|,|,08:18,|,|,|,|,|,|,|,|,|,|,|,|,13:40,13:25,13:42,14:36,14:59,15:50,|,16:55,17:01,18:07,|,|,|,18:45,18:30,|,|,|,19:00,19:00,19:30,19:30,20:00,10:05,18:05
ST-EUSTACHE-LA-FORÊT/Centre,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,16:56,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|
BOLBEC/LEP Coubertin/Le Viaduc,06:27,07:34,|,08:20,08:12,08:42,09:05,10:12,|,10:46,11:47,13:12,13:12,|,|,|,13:41,13:27,13:45,14:38,15:02,15:52,16:57,|,|,18:09,|,|,|,18:46,18:32,|,|,|,19:02,19:02,19:32,19:32,20:02,10:07,18:07
BOLBEC/Place Félix Faure,06:32,07:39,|,08:24,08:17,08:47,09:11,10:17,09:41,10:51,11:52,13:17,13:17,|,|,12:40,13:46,13:32,13:50,14:45,15:09,15:57,17:02,|,17:07,18:14,|,18:00,17:35,18:50,18:37,|,|,|,19:07,19:07,19:37,19:37,20:07,10:12,18:12
BOLBEC/Collège Roncherolles - Lycée Curie,|,07:42,|,08:29,|,08:50,|,|,|,|,|,13:20,13:20,|,|,|,13:49,|,|,|,|,16:00,|,17:05,17:12,|,|,|,|,18:55,|,|,|,|,|,|,|,|,|,|,|
BOLBEC/Chambre de Commerce/Pont Bellet,06:41,07:45,|,08:33,08:23,08:53,09:15,10:23,09:46,10:55,11:58,13:23,13:23,|,|,12:46,13:52,13:38,13:56,14:51,15:14,16:03,|,17:08,17:16,18:20,|,|,17:40,19:00,|,|,|,|,19:13,19:13,19:43,19:43,20:13,10:18,18:18
GRUCHET-LE-VALASSE/Mairie/Supermarché,06:43,07:47,|,08:35,08:25,08:55,09:19,10:25,09:48,10:58,12:00,13:25,13:25,|,|,12:49,13:54,13:40,13:58,14:54,15:16,16:05,|,17:10,17:19,18:22,|,|,17:42,19:03,|,|,|,|,19:15,19:15,19:45,19:45,20:15,10:20,18:20
TANCARVILLE BAS/Écluse/École Pican/Petit Pont,|,|,|,|,|,|,|,|,|,|,|,|,|,12:50,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,18:35,|,|,|,|,|,|,|,|
ST-JEAN-DE-FOLLEVILLE/Les Aigrettes/Rue des Sources,|,|,|,|,|,|,|,|,|,|,|,|,|,12:59,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,18:42,|,|,|,|,|,|,|,|
LILLEBONNE/Le Becquet/La Tourbière,06:47,07:51,|,08:41,08:29,08:59,09:25,10:29,09:55,11:04,12:04,13:29,13:29,|,|,12:53,13:58,13:44,14:03,14:57,15:20,16:09,|,17:14,17:24,18:26,|,|,17:48,19:09,|,|,|,|,19:19,19:19,19:49,19:49,20:19,10:24,18:24
LILLEBONNE/Collège P.Mendès-France/Le Temple - Place T. Holley,06:50,07:55,|,08:44,08:33,09:03,09:28,10:33,09:58,11:08,12:08,13:33,13:33,|,|,12:57,14:02,13:48,14:08,15:01,15:23,16:13,|,17:18,17:28,18:30,|,|,17:52,19:12,|,|,|,|,19:23,19:23,19:53,19:53,20:23,10:28,18:28
LILLEBONNE/Théatre Romain - Place F.Faure,06:53,08:00,|,08:49,08:38,09:08,09:33,10:38,10:03,11:15,12:13,13:38,13:38,13:05,13:05,13:02,14:07,13:53,14:15,15:05,15:30,16:18,|,17:23,17:33,18:35,17:45,18:15,17:57,19:16,|,|,18:50,19:00,19:28,19:28,19:58,19:58,20:28,10:33,18:33
LILLEBONNE/Le Manoir/Le Mesnil,06:56,|,|,08:53,08:41,09:11,|,10:41,10:07,11:18,12:16,|,|,|,|,13:05,|,13:56,14:17,15:07,15:32,16:21,|,17:26,17:36,|,|,|,17:59,19:19,|,|,|,|,19:31,19:31,20:01,20:01,20:31,10:36,18:36
LILLEBONNE/La Vallée/Fond de Vallée,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,17:55,|,|,|,|,|,|,|,|,|,|,|,|,|,|
ND-DE-GRAVENCHON/Messager,07:04,|,|,08:58,08:48,09:18,|,10:48,10:13,11:24,12:23,|,|,13:15,|,13:13,|,14:03,14:24,15:14,15:38,16:28,|,17:33,17:41,18:45,|,|,18:06,19:24,|,|,19:00,|,19:38,19:38,20:08,20:08,20:38,10:43,18:43
ND-DE-GRAVENCHON/Dunant,07:05,|,|,|,08:50,|,|,10:50,10:15,11:27,12:25,|,|,|,|,|,|,14:05,14:25,15:16,|,|,|,|,17:44,|,|,|,|,19:25,|,|,|,|,|,19:40,|,|,|,10:45,18:45
PETIVILLE/Le Génetais/Le Cul du Tôt/Centre/Cimetière,07:07,|,|,|,08:52,|,|,10:52,10:19,11:28,12:27,|,|,|,|,|,|,14:07,14:27,15:18,|,16:32,|,|,17:46,|,|,|,|,19:28,|,|,|,|,|,19:42,|,|,|,10:47,18:47
ST-MAURICE-D'ÉTELAN/Les Noyers/Centre,07:12,|,|,|,08:57,|,|,10:57,10:23,11:33,12:32,|,|,|,|,|,|,14:12,14:32,15:23,|,16:37,|,|,17:50,|,|,|,|,19:33,|,|,|,|,|,19:47,|,|,|,10:52,18:52
NORVILLE/Le Croquet/Centre/Auberge,07:16,|,|,|,09:01,|,|,11:01,10:26,11:36,12:36,|,|,|,|,|,|,14:16,14:36,15:27,|,16:41,|,|,17:53,|,|,|,|,19:35,|,|,|,|,|,19:51,|,|,|,10:56,18:56
VILLEQUIER/Cantepie/Croix Dussault/HLM/Centre,07:20,|,|,|,09:07,|,|,11:07,10:29,11:40,12:42,|,|,|,|,|,|,14:22,14:40,15:31,|,16:46,|,|,17:57,|,|,|,|,19:38,|,|,|,|,|,19:57,|,|,|,11:02,19:02
LA FRENAYE/Mairie,|,08:06,|,|,|,|,09:38,|,|,|,|,13:44,13:44,|,|,|,14:13,|,|,|,|,|,|,|,|,|,|,18:22,|,|,|,|,|,|,|,|,|,|,|,|,|
AUBERVILLE-LA-CAMPAGNE/Centre,|,08:10,|,|,|,|,09:41,|,|,|,|,13:48,13:48,|,|,|,|,|,|,|,|,|,|,|,|,|,|,18:26,|,|,|,|,|,|,|,|,|,|,|,|,|
ANQUETIERVILLE/Route de L'Église,|,08:14,06:55,|,|,|,09:45,|,|,|,|,13:52,13:52,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|
ST-ARNOULT/Mairie/Centre/Houquetot/Croix Blanche,|,08:17,06:58,|,|,|,09:50,|,|,|,|,13:55,13:55,|,|,|,|,|,|,|,|,|,|,|,|,|,|,18:31,|,|,|,|,|,|,|,|,|,|,|,|,|
CAUDEBEC-EN-CAUX/Piscine/Maison de Retraite,07:27,|,|,|,09:12,|,|,11:12,10:38,11:47,12:47,|,|,|,|,|,|,14:27,14:47,15:38,|,16:52,|,|,18:02,|,|,|,|,19:43,|,|,|,|,|,20:02,|,|,|,11:07,19:07
CAUDEBEC-EN-CAUX/Quai,07:30,08:27,07:08,|,09:15,|,09:58,11:15,10:40,11:50,12:50,14:05,14:05,|,|,|,|,14:30,14:55,15:41,|,16:55,|,|,18:05,|,|,18:41,|,19:47,|,|,|,|,|,20:05,|,|,|,11:10,19:10
CAUDEBEC-EN-CAUX/Rétival (Révima),07:36,08:32,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|
